,full_word,pt1,rest
395,মধুরতা,মধুর,তা  
396,মহত্ব,মহৎ,ত্ব  
397,মেধাসম্পন্ন,মেধা,সম্পন্ন  
398,মুগ্ধতা,মুগ্ধ,তা  
399,মরমী,মরম,ই  
400,যথেষ্ট,যথে,ষ্ট  
401,রুচিশীল,রুচি,শীল  
402,রঙিনতা,রঙিন,তা  
403,লাবণ্যতা,লাবণ্য,তা  
404,সংশোধনযোগ্য,সংশোধন,যোগ্য  
405,সম্প্রসারণশীল,সম্প্রসারণ,শীল  
406,সুবিখ্যাত,সু,বিখ্যাত  
407,স্বল্পমেয়াদী,স্বল্প,মেয়াদী  
408,স্বতন্ত্রতা,স্বতন্ত্র,তা  
409,স্বীকৃত,স্বী,কৃত  
410,হৃদয়বান,হৃদয়,বান  
411,হাস্যকর,হাস্য,কর  
412,নির্দিষ্টতা,নির্দিষ্ট,তা  
413,নিখুঁত,নি,খুঁত  
414,নিরাময়যোগ্য,নিরাময়,যোগ্য  
415,নিবেদিত,নি,বেদিত  
416,নির্বাক,নি,র্বাক  
417,নির্ভুল,নি,র্ভুল  
418,নির্ণায়ক,নি,র্ণায়ক  
419,নিপুণতা,নিপুণ,তা  
420,নৈসর্গিক,নৈসর্গ,ইক  
421,নিয়মিত,নিয়ম,িত  
422,নিয়মাবলী,নিয়ম,আবলী  
423,নিয়ন্ত্রণযোগ্য,নিয়ন্ত্রণ,যোগ্য  
424,নিপীড়িত,নি,পীড়িত  
425,নিখাদ,নি,খাদ  
426,নির্ভরতামূলক,নির্ভরতা,মূলক  
427,নির্ভরশীল,নির্ভর,শীল  
428,নির্বাচনমূলক,নির্বাচন,মূলক  
429,অপরিসীম,অ,পরিসীম  
430,অনুকূল,অনু,কূল  
431,অনুরাগী,অনু,রাগী  
432,অনুকরণীয়,অনু,করণীয়  
433,অনুশীলনমূলক,অনুশীলন,মূলক  
434,অমলিন,অ,মলিন  
435,অমৃত,অ,মৃত  
436,অভিজ্ঞান,অভি,জ্ঞান  
437,অভিনন্দন,অভি,নন্দন  
438,অভিযোগমূলক,অভিযোগ,মূলক  
439,অর্জিত,অর্জি,ত  
440,অসহায়,অ,সহায়  
441,অসংখ্য,অ,সংখ্য  
442,আলোকদাতা,আলোক,দাতা  
443,ইতিবাচক,ইতি,বাচক  
444,উদ্দেশ্যমূলক,উদ্দেশ্য,মূলক  
445,উদাহরণমূলক,উদাহরণ,মূলক  
446,উদ্ভাবনশীল,উদ্ভাবন,শীল  
447,উৎসাহী,উৎসাহ,ই  
448,উন্নত,উন্ন,ত  
449,উপকারী,উপ,কারী  
450,কর্তৃত্বশীল,কর্তৃত্ব,শীল  
451,ক্লান্তিহীন,ক্লান্তি,হীন  
452,ক্রমশ,ক্রম,শ  
453,গভীর,গ,ভীর  
454,গবেষণাধর্মী,গবেষণা,ধর্মী  
455,গুণমানসম্পন্ন,গুণমান,সম্পন্ন  
456,ঘটনাবহুল,ঘটনা,বহুল  
457,চমকপ্রদ,চমক,প্রদ  
458,চিরস্থায়ী,চির,স্থায়ী  
459,চিন্তাশক্তি,চিন্তা,শক্তি  
460,চ্যালেঞ্জিং,চ্যালেঞ্জ,ইং  
461,জ্ঞানপিপাসু,জ্ঞান,পিপাসু  
462,জীবনঘনিষ্ঠ,জীবন,ঘনিষ্ঠ  
463,দৈনিক,দিন,ইক  
464,দৃঢ়সংকল্প,দৃঢ়,সংকল্প  
465,দ্রুতগতি,দ্রুত,গতি  
466,ধৈর্যবান,ধৈর্য,বান  
467,নবজাগরণ,নব,জাগরণ  
468,নবসৃষ্ট,নব,সৃষ্ট  
469,নির্ভরযোগ্য,নির্ভর,যোগ্য  
470,নির্মোহতা,নির্মোহ,তা  
471,নির্বাচিত,নির্বাচ,িত  
472,নির্মাণশীল,নির্মাণ,শীল  
473,নিপুণ,নি,পুণ  
474,নিবিড়,নি,বিড়  
475,নির্দেশমূলক,নির্দেশ,মূলক  
476,নিষ্ঠার,নিষ্ঠা,র  
477,পণ্ডিত,প,ণ্ডিত  
478,পরিকল্পনামূলক,পরিকল্পনা,মূলক  
479,পর্যাপ্ত,পর্যা,প্ত  
480,পার্থক্যমূলক,পার্থক্য,মূলক  
481,পুনর্জন্ম,পুনর,জন্ম  
482,প্রগাঢ়,প্র,গাঢ়  
483,প্রজ্ঞা,প্র,জ্ঞা  
484,প্রতিষ্ঠিত,প্রতিষ্ঠা,িত  
485,প্রতিভাশালী,প্রতিভা,শালী  
486,প্রদর্শনমূলক,প্রদর্শন,মূলক  
487,প্রভূত,প্র,ভূত  
488,প্রমুখ,প্র,মুখ  
489,প্রসিদ্ধ,প্র,সিদ্ধ  
490,প্রাপ্ত,প্রা,প্ত  
491,প্রাসঙ্গিক,প্রসঙ্গ,ইক  
492,ফলপ্রসূ,ফল,প্রসূ  
493,বৈচিত্র্যময়,বৈচিত্র্য,ময়  
494,বৈশিষ্ট্যপূর্ণ,বৈশিষ্ট্য,পূর্ণ  
495,বুদ্ধিজীবী,বুদ্ধি,জীবী  
496,বৈধ,বৈ,ধ  
497,ভবিষ্যতদ্রষ্টা,ভবিষ্যত,দ্রষ্টা  
498,মন্ত্রমুগ্ধ,মন্ত্র,মুগ্ধ  
499,যথাযথ,যথা,যথ  
500,যৌক্তিক,যুক্তি,ইক  
501,লাবণ্য,লা,বণ্য  
502,সম্পন্ন,সম,পন্ন  
503,সম্পর্কিত,সম্পর্ক,িত  
504,সফলতা,সফল,তা  
505,সর্বজনীন,সর্ব,জনীন  
506,সাহিত্যসমৃদ্ধ,সাহিত্য,সমৃদ্ধ  
507,সুশৃঙ্খল,সু,শৃঙ্খল  
508,full_word,pt1,rest
509,আলোহিত,আলো,হিত
510,বিদ্বান,বিদ,বান
511,সহৃদয়,স,হৃদয়
512,চঞ্চলতা,চঞ্চল,তা
513,বিশ্বস্ত,বিশ্বাস,স্ত
514,নিষ্ঠাবান,নিষ্ঠা,বান
515,সতর্ক,স,তর্ক
516,সহজসরল,সহজ,সরল
517,আনন্দিত,আনন্দ,িত
518,কর্তব্যপরায়ণ,কর্তব্য,পরায়ণ
519,সজ্জন,স,জজন
520,সুবুদ্ধি,সু,বুদ্ধি
521,বিজ্ঞানী,বিজ্ঞান,ই
522,ধীমান,ধী,মান
523,উদ্বুদ্ধ,উদ,বুদ্ধ
524,জ্ঞানী,জ্ঞান,ই
525,সুবিচারক,সু,বিচারক
526,কুশাগ্র,কুশ,আগ্র
527,পাণ্ডিত্যপূর্ণ,পাণ্ডিত্য,পূর্ণ
528,পরিষ্কার,পরি,ষ্কার
529,সৌম্য,সৌ,ম্য
530,চতুর,চ,তুর
531,সৃজনমুখী,সৃজন,মুখী
532,আলোকপ্রাপ্ত,আলোক,প্রাপ্ত
533,কর্মঠ,কর্ম,ঠ
534,প্রগতিশীল,প্রগতি,শীল
535,সুপরামর্শক,সু,পরামর্শক
536,সাহিত্যপ্রেমী,সাহিত্য,প্রেমী
537,শৃঙ্খলাপরায়ণ,শৃঙ্খলা,পরায়ণ
538,সৌন্দর্যমণ্ডিত,সৌন্দর্য,মণ্ডিত
539,নম্রশীল,নম্র,শীল
540,গবেষণামূলক,গবেষণা,মূলক
541,বিশ্বদর্শী,বিশ্ব,দর্শী
542,মানবিক,মানব,ইক
543,পর্যবেক্ষণশীল,পর্যবেক্ষণ,শীল
544,আস্থাশীল,আস্থা,শীল
545,সংস্কৃতিমনা,সংস্কৃতি,মনা
546,নির্মলমতি,নির্মল,মতি
547,পরমার্থবাদী,পরমার্থ,বাদী
548,অহিংস,অ,হিংস
549,সুবিবেচনাপ্রসূত,সুবিবেচনা,প্রসূত
550,নির্লোভ,নি,র্লোভ
551,স্বাবলম্বী,স,অবলম্বী
552,সংশয়মুক্ত,সংশয়,মুক্ত
553,বিচক্ষণতা,বিচক্ষণ,তা
554,দৃঢ়চেতা,দৃঢ়,চেতা
555,পরম্পরাবাদী,পরম্পরা,বাদী
556,প্রামাণ্য,প্রমাণ,ইয়
557,দূরদর্শী,দূর,দর্শী
558,আলোকিত,আলোক,িত
559,অতুলনীয়,অতুল,নীয়
560,অপরাজেয়,অপরা,জেয়
561,অবিশ্বাস্য,অবিশ্বাস,্য
562,অপরিমেয়,অপরি,মেয়
563,অতীন্দ্রিয়,অতী,ন্দ্রিয়
564,অনুকম্পাময়,অনুকম্পা,ময়
565,উদ্বোধনী,উদ্বোধ,নী
566,অনুভূমিক,অনুভূ,মিক
567,উজ্জীবিত,উজ্জীব,িত
568,অমিতব্যয়ী,অমিত,ব্যয়ী
569,অপরূপ,অপর,ূপ
570,অকল্পনীয়,অকল্প,নীয়
571,আত্মবিস্মিত,আত্ম,বিস্মিত
572,অতুলনীয়তা,অতুলনীয়,তা
573,নির্ভীক,নি,র্ভীক
574,নিরন্তর,নি,রন্তর
575,আনন্দদায়িনী,আনন্দ,দায়িনী
576,অনুরাগময়,অনুরাগ,ময়
577,উত্তম,উত্ত,ম
578,অমোঘ,অম,োঘ
579,প্রেরণাদায়ক,প্রেরণা,দায়ক
580,সৌম্যদর্শী,সৌম্য,দর্শী
581,নিরবচ্ছিন্ন,নি,রবচ্ছিন্ন
582,আলোকবিচ্ছুরিত,আলোক,বিচ্ছুরিত
583,অনুপ্রেরণাময়,অনুপ্রেরণা,ময়
584,অসীম,অ,সীম
585,অবিচল,অ,বিচল
586,অম্লান,অম্ল,ান
587,অবিচ্ছিন্ন,অবিচ্ছি,ন্ন
588,আলোচিত,আলো,চিত
589,প্রজ্ঞাসম্পন্নতা,প্রজ্ঞা,সম্পন্নতা
590,সুনিপুণ,সু,নিপুণ
591,সুচিন্তিত,সু,চিন্তিত
592,উদাত্ত,উদা,ত্ত
593,উন্নতিসাধন,উন্নতি,সাধন
594,নবজাগরণশীল,নব,জাগরণশীল
595,উদ্যমী,উদ্য,মী
596,অপার্থিবত্ব,অপার্থিব,ত্ব
597,সুস্পষ্ট,সু,স্পষ্ট
598,পরিষ্কারতা,পরিষ্কার,তা
599,নিরবচ্ছিন্নতা,নি,রবচ্ছিন্নতা
600,আনন্দজীবন,আনন্দ,জীবন
601,উদ্দীপনাময়,উদ্দীপনা,ময়
602,সুখস্মৃতি,সুখ,স্মৃতি
603,প্রতিভাবান,প্রতিভা,বান
604,অম্লানতা,অম্লান,তা
605,উজ্জ্বলতা,উজ্জ্বল,তা
606,উন্নতিবান,উন্নতি,বান
607,সমৃদ্ধি,সমৃ,দ্ধি
608,সঙ্গীতময়,সঙ্গীত,ময়
609,কাব্যিক,কাব্য,ইক
610,সাহিত্যিক,সাহিত্য,ইক
611,সুচিন্তন,সু,চিন্তন
612,উদাসীন,উদা,সীন
613,অমায়িক,অমা,য়িক
614,নিসর্গ,নিস,র্গ
615,নবচেতনা,নব,চেতনা
616,সুপ্রতিষ্ঠিত,সু,প্রতিষ্ঠিত
617,দীর্ঘস্থায়ী,দীর্ঘ,স্থায়ী
618,নির্মলচিন্তা,নির্মল,চিন্তা
619,অনুবাদযোগ্য,অনুবাদ,যোগ্য
620,উদাসীনতা,উদা,সীনতা
621,অতৃপ্তি,অতৃ,প্তি
622,সমাধানযোগ্য,সমাধান,যোগ্য
