index,full_word,pt1,rest
251,थाली,था,ली
252,गिलास,गिला,स
253,सुराही,सुरा,ही
254,कड़ाही,कड़ा,ही
255,जीरा,जी,रा
256,तौलिया,तौ,लिया
257,कंघी,कंघ,ी
258,कपड़ा,क,पड़ा
259,जूता,जू,ता
260,मोज़ा,मो,ज़ा
261,धागा,धा,गा
262,फीता,फी,ता
263,थैला,थैल,ा
264,मटकी,मट,की
265,लड़का,लड़,का
266,नाना,ना,ना
267,चाची,चा,ची
268,फूफा,फूफ,ा
269,मछुआरा,मछुआ,रा
270,दरज़ी,दर,ज़ी
271,बढ़ई,बढ़,ई
272,रंगरेज़,रंग,रेज़
273,राजकुमारी,राजकुमार,ी
274,घोंसला,घों,सला
275,इंद्रधनुष,इंद्र,धनुष
276,सूर्यास्त,सूर्या,स्त
277,दीया,दी,या
278,मोमबत्ती,मोमबत्त,ी
279,कुकी,कु,की
280,नूडल्स,नूडल,्स
281,रंगोली,रंगोल,ी
282,पटाखा,पटा,खा
283,हथौड़ा,हथौ,ड़ा
284,खरगोश,खर,गोश
285,कुआँ,कु,आँ
286,पगडंडी,पगडं,डी
287,हौदा,हौ,दा
288,फ़र्श,फ़र्,श
289,छाता,छा,ता
290,फुलवारी,फुलवार,ी
291,खज़ाना,ख,ज़ाना
292,खिड़कीदार,खिड़की,दार
293,कपड़े,क,पड़े
294,सपना,स,पना
295,झोपड़ी,झोपड़,ी
296,दालचीनी,दाल,चीनी
297,सुपारी,सु,पारी
298,फुल्का,फुल,्का
299,पराठा,परा,ठा
300,मछलीघर,मछली,घर
301,घूसर,घूस,र
302,आम्रपाली,आम्र,पाली
303,नर्तकी,नर्तक,ी
304,गुलदस्ता,गुल,दस्ता
305,रुपया,रुप,या
306,सिक्का,सिक्,का
307,तिजोरी,तिजोर,ी
308,हरियाली,हरिया,ली
309,अंगूठी,अंगूठ,ी
310,टोकरी,टोकर,ी
311,चित्ताकर्षक,चित्ता,कर्षक
312,नम्रतापूर्ण,नम्र,तापूर्ण
313,आनंदमय,आनंद,मय
314,सुहाना,सुहा,ना
315,मिठास,मिठा,स
316,स्वर्गीय,स्वर्ग,ीय
317,रससिक्त,रस,सिक्त
318,मनभावन,मन,भावन
319,दिलकश,दिल,कश
320,रसप्रद,रस,प्रद
321,मधुमय,मधु,मय
322,मृदुभाषी,मृदु,भाषी
323,स्नेहमयी,स्नेह,मयी
324,फुर्तीला,फुर्त,ीला
325,सहयोगी,सहयोग,ी
326,उपयोगी,उपयोग,ी
327,वात्सल्यपूर्ण,वात्सल्य,पूर्ण
328,भीनी,भी,नी
329,समदर्शी,सम,दर्शी
330,उत्साहवर्धक,उत्साह,वर्धक
331,रोमांचक,रोमांच,क
332,मिठासभरा,मिठा,सभरा
333,मनोमुग्धकारी,मनो,मुग्धकारी
334,प्रेमपूर्ण,प्रेम,पूर्ण
335,आशीर्वादमय,आशीर्वाद,मय
336,खुशदिल,खुश,दिल
337,स्नेहिल,स्नेह,िल
338,ज्ञानी,ज्ञान,ी
339,प्रियदर्शी,प्रियदर्श,ी
340,सुवासित,सुवा,सित
341,उल्लासित,उल्लास,ित
342,सुकूनभरा,सुकून,भरा
343,उजला,उ,जला
344,नन्हा,न,न्हा
345,सुकोमल,सु,कोमल
346,सहजता,सहज,ता
347,सरसता,सर,सता
348,पतला,पत,ला
349,नमकीन,न,मकीन
350,फीका,फी,का
351,चमकीला,चमकी,ला
352,धुंधला,धुंध,ला
353,रंगीन,रंगी,न
354,सुगंधित,सुगंध,ित
355,खुशबूदार,खुशबू,दार
356,ताज़ा,ता,ज़ा
357,तेज़,ते,ज़
358,गीला,गी,ला
359,चमकदार,चमक,दार
360,चौकोर,चौ,कोर
361,तिकोना,तिकोन,ा
362,संकरी,संक,री
363,सुहावना,सुहा,वना
364,प्यारा,प्यार,ा
365,मजेदार,मज,ेदार
366,रोचक,रो,चक
367,चमचमाता,चमचमा,ता
368,झिलमिलाता,झिलमिला,ता
369,टिमटिमाता,टिमटिमा,ता
370,रसदार,रस,दार
371,रसीला,रसील,ा
372,मसालेदार,मसाले,दार
373,खुशनुमा,खुश,नुमा
374,सरल,सर,ल
375,सीधा,सी,धा
376,आशावादी,आशावाद,ी
377,नीचा,नी,चा
378,टेढ़ा,टेढ़,ा
379,महकता,महक,ता
380,सुरभित,सुर,भित
381,उज्ज्वलित,उज्ज्वल,ित
382,कमनीय,कम,नीय
383,मनोहर,मनो,रम
384,आकर्षक,आकर्ष,क
385,लुभावना,लुभावन,ा
386,मधुरस,मधुर,स
387,स्वादिष्ट,स्वा,दिष्ट
388,गुलाबी,गुलाब,ी
389,पीला,पी,ला
390,सुनहरा,सुन,हरा
391,चाँदनी,चाँद,नी
392,संतरी,संत,री
393,मित्रवत,मित्र,वत
394,मलाईदार,मलाई,दार
395,मखमली,मखमल,ी
396,खिलता,खिल,ता
397,इंद्रधनुषी,इंद्र,धनुषी
398,रसपूर्ण,रस,पूर्ण
399,सरस,सर,स
400,ऊर्जावान,ऊर्जा,वान
401,जैवंत,जै,वंत
402,सजीव,स,जीव
403,क्रियाशील,क्रिया,शील
404,तरोताज़ा,तरो,ताज़ा
405,बैंगनी,बैंग,नी
406,सतरंगी,सत,रंगी
407,मोहक,मोह,क
408,रमणीय,रमण,ीय
409,शांतिपूर्ण,शांति,पूर्ण
410,साहसी,साहस,ी
411,मैत्रीपूर्ण,मैत्री,पूर्ण
412,मिलनसार,मिलन,सार
413,बुद्धिमान,बुद्धि,मान
414,मेहनती,मेहनत,ी
415,आनंदित,आनंद,ित
416,उल्लासपूर्ण,उल्लास,पूर्ण
417,उत्साहपूर्ण,उत्साह,पूर्ण
418,सुगठित,सु,गठित
419,लहरदार,लहर,दार
420,मसृण,मस,ृण
421,खिलखिलाता,खिलखिला,ता
422,रूपवान,रूप,वान
423,सूरजमुखी,सूरज,मुखी
424,दयालु,दय,ालु
425,कांपना,कांप,ना
426,प्रशासक,प्र,शासक
427,उत्तेजित,उत्तेज,ित
428,सुधरना,सुधर,ना
429,स्फीत,स्फी,त
430,विवश,विव,श
431,बाँटना,बाँट,ना
432,होशियार,होश,ियार
433,अपकारी,अप,कारी
434,प्रभुसत्तात्मक,प्रभु,सत्तात्मक
435,प्रमुख,प्र,मुख
436,निश्चल,निश,चल
437,प्रथा,प्रथ,ा
438,संकोचना,संकोच,ना
439,भयप्रद,भय,प्रद
440,लाकर,ला,कर
441,अव्यावहारिक,अ,व्यावहारिक
442,अन्वित,अन्व,ित
443,श्रमसाध्य,श्रम,साध्य
444,अग्रगामी,गामी,अग्र
445,चरम,चर,म
446,सटीक,सट,ीक
447,शवतुल्य,शव,तुल्य
448,भूलना,भूल,ना
449,ईश्वरीय,ईश्वर,ीय
450,बुहारना,बुहार,ना
451,फरना,फर,ना
452,सुंदराकार,सुंदर,आकार
453,उन्मुख,उन्,मुख
454,प्रेमल,प्रेम,ल
455,नाजुक,नाज,ुक
456,कुतूहल,कुतु,हल
457,प्राक्कालिक,प्राक्काल,िक
458,पूर्ववत,पूर्व,वत
459,बहादुर,बहा,दुर
460,विसृत,विसृ,त
461,विलंबित,विलंब,ित
462,विकासोन्मुख,विकास,उन्मुख
463,प्राविधिक,प्र,ाविधिक
464,पनपना,पन,पना
465,यथावत,यथा,वत
466,बटोरना,बटोर,ना
467,निष्ठुर,निष्ठ,ुर
468,निरर्थक,अर्थ,निर
469,बोना,बो,ना
470,विश्रुत,विश्रु,त
471,अडिग,अड,िग
472,असंतुष्ट,तुष्ट,असन्
473,किंचित,किं,चित
474,चिढ़ाना,चिढ़,ाना
475,अस्पष्ट,स्पष्ट,अ
476,गलत,गल,त
477,विभ्रांत,भ्रांत,वि
478,पकना,पक,ना
479,टलना,टल,ना
480,उत्सुक,उत्सु,क
481,विदारित,विदा,रित
482,निगलना,निगल,ना
483,अपूर्व,अ,पूर्व
484,लड़ना,लड़,ना
485,परितुष्ट,तुष्ट,परि
486,मजबूत,मज,बूत
487,चालाक,चाल,ाक
488,मार्गदर्शक,मार्ग,दर्शक
489,नमना,नम,ना
490,दिशानिर्देशक,दिशा,निर्देशक
491,हाँफना,हाँफ,ना
492,अशांत,शांत,अ
493,आकुल,आ,कुल
494,विमूढ़,मूढ़,वि
495,सहमना,सह,मना
496,अप्रभावी,प्रभाव,अ
497,वफादार,वफा,दार
498,संवेदनहीन,संवेदन,हीन
499,उद्यमी,उद्यम,ी
500,ऐतिहासिक,इतिहास,िक
501,जटिल,जट,िल
502,क्षमाशील,क्षम,ाशील
503,स्थिर,स्थ,िर
504,खरोंचना,खरोंच,ना
505,कंजूस,कंजू,स
506,संक्रामक,संक्रम,क
507,स्थायी,स्था,यी
508,शरण्य,शरण,्य
509,अनुपयुक्त,अनुपयु,क्त
510,अच्छा,अच्छ,ा
511,सुरक्षित,सुर,क्षित
512,घिसटना,घिस,टना
513,पलटना,पलट,ना
514,स्वीकारना,स्वीकृत,ना
515,अनन्य,अन,न्य
516,परतंत्र,पर,तंत्र
517,उत्पीड़क,उत्पीड़,क
518,विस्मृत,स्वि-,मृत
519,पराक्रमी,पराक्रम,ी
520,सघन,स,घन
521,खरीदना,खरीद,ना
522,विरल,विर,ल
523,सृजनात्मक,सृजन,ात्मक
524,अन्वेषणशील,अन्वेषण,शील
525,परिवर्तनशील,परिवर्तन,शील
526,प्रतिबद्धता,प्रतिबद्ध,ता
527,समर्पणशील,समर्पण,शील
528,सुसंगत,सु,संगत
529,अतुलनीय,अतुल,नीय
530,निखारशील,निखार,शील
531,शक्तिमान,शक्ति,मान
532,सुलभ,सु,लभ
533,अविस्मरणीय,अविस्मरण,ीय
534,अमरत्व,अमर,त्व
535,प्रमोद,प्र,मोद
536,आनंददायक,आनंद,दायक
537,सुगम,सु,गम
538,उज्जवल,उज्ज्व,ल
539,विवेकपूर्ण,विवेक,पूर्ण
540,दृढ़संकल्प,दृढ़,संकल्प
541,अविनाशी,अवि,नाशी
542,प्रसन्नचित्त,प्रसन्न,चित्त
543,नियोजित,नियोज,ित
544,सहिष्णु,सहि,ष्णु
545,मनोवांछित,मनो,वांछित
546,स्वाभाविक,स्वाभाव,िक
547,प्रतिभावान,प्रतिभा,वान
548,अद्वितीय,अद्वित,ीय
549,व्यापक,व्य,ापक
550,दक्षिणी,दक्षिण,ई
551,उत्तम,उत्,तम
552,प्रभावी,प्रभाव,ी
553,परिपक्व,परि,पक्व
554,उदात्त,उदा,त्त
555,समीक्षित,समीक्ष,ित
556,निर्मल,निर्म,ल
557,अमूल्य,अमू,ल्य
558,सप्रेम,स,प्रेम
559,निरंतर,निरं,तर
560,संस्कृत,संस्कृ,त
561,अभिज्ञ,अभि,ज्ञ
562,महत्त्वपूर्ण,महत्त्व,पूर्ण
563,विवेकशील,विवेक,शील
564,शुद्ध,शु,द्ध
565,निरपेक्ष,निर,पेक्ष
566,सुव्यवस्थित,सुव्यव,स्थित
567,निरोग,नि,रोग
568,उदार,उदा,र
569,दीप्तिमान,दीप्ति,मान
570,आकांक्षी,आकांक्षा,ई
571,सचेत,सच,ेत
572,उल्लेखनीय,उल्लेख,नीय
573,अनुग्राही,अनुग्रह,ई
574,विवेकी,विवेक,ई
575,न्यायप्रिय,न्याय,प्रिय
576,प्रतिष्ठित,प्रतिष्ठ,ित
577,सुगुण,सु,गुण
578,अपरिमेय,अपरि,मेय
579,बेमिसाल,बे,मिसाल
580,स्वाधीन,स्वा,धीन
581,अतिसुंदर,अति,सुंदर
582,दूरदर्शी,दूर,दर्शी
583,निरंतरता,निरंतर,ता
584,विवेकबुद्धि,विवेक,बुद्धि
585,अतिसंवेदनशील,अति,संवेदनशील
586,उत्कृष्ट,उत्कृ,ष्ट
587,नितांत,नि,तान्त
588,अटल,अ,टल
589,विपुल,वि,पुल
590,सुदृढ़,सु,दृढ़
591,अपरिहार्य,अपरि,हार्य
592,उत्कर्ष,उत्क,र्ष
593,परिपूर्ण,परि,पूर्ण
594,स्वच्छंद,स्वच्छ,ंद
595,निश्चिंत,निश्चि,ंत
596,आश्चर्यजनक,आश्चर्य,जनक
597,स्वाभिमानी,स्वाभिमान,ी
598,उत्साही,उत्सा,ही
599,सज्जन,सज्ज,न
600,निपुण,निपु,ण
601,परिश्रमी,परिश्रम,ी
602,दक्ष,द,क्ष
603,निखिल,नि,खिल
604,व्यवस्थित,व्यव,स्थित
605,संगठित,संगठ,ित
606,प्रबुद्ध,प्रबु,द्ध
607,अनुभवी,अनुभव,ी
608,प्रशंसनीय,प्रशंस,नीय
609,स्फूर्तिदायक,स्फूर्ति,दायक
610,चिन्ताशील,चिन्ता,शील
611,आदर्श,आदर,श
612,महान,मह,अन
613,निराला,नि,राला
614,समृद्ध,समृ,द्ध
615,परिपूर्णता,परिपूर्ण,ता
616,आलोचनात्मक,आलोचना,ात्मक
617,व्यावहारिक,व्यावहार,िक
618,सकारात्मक,सकार,ात्मक
619,प्रतिबिंब,प्रतिबि,बिंब
620,रचनात्मक,रचना,ात्मक
621,संवेदनशील,संवेदन,शील
622,धैर्यवान,धैर्य,वान
623,सृजनशील,सृजन,शील
624,अनुरागपूर्ण,अनुराग,पूर्ण
625,समुचित,समु,चित
626,निरुपद,नि,रुपद
627,सुगम्यता,सुगम,्यता
628,विवेकवाद,विवेक,वाद
629,अधिकारपूर्ण,अधिकार,पूर्ण
630,आत्मविश्वास,आत्म,विश्वास
631,उन्नत,उन्,नत
632,सतर्क,सतर,क
633,अखण्ड,अख,ण्ड
634,निरपेक्षता,निरपेक्ष,ता
635,स्पष्टता,स्पष्ट,ता
636,अपरिवर्तनीय,अपरिवर्त,नीय
637,अविचल,अवि,चल
638,निर्विकार,निर्वि,कार
639,विवेकबोध,विवेक,बोध
640,सजग,सज,ग
641,उत्सर्जन,उत्सर्ज,न
642,प्रेरणादायक,प्रेरणा,दायक
643,अंतर्दृष्टि,अंतर्दृष्ट,ि
644,प्रबल,प्रब,ल
645,स्वच्छता,स्वच्छ,ता
646,उन्नति,उन्,नति
647,सौम्य,सौ,म्य
648,उदारता,उदार,ता
649,निष्पक्षता,निष्पक्ष,ता
650,परिशुद्ध,परि,शुद्ध
651,अतुलनीयता,अतुलनीय,ता
652,विमर्शशील,विमर्श,शील
653,सत्यनिष्ठ,सत्य,निष्ठ
654,उत्सुकता,उत्सुक,ता
655,नूतन,नू,तन
656,समेकित,समे,कित
657,प्रगल्भ,प्रग,ल्भ
658,उन्नतिशील,उन्नति,शील
659,सुदिन,सु,दिन
660,पराकाष्ठा,पराका,ष्ठा
661,निखार्यता,निखार,्यता
662,सर्वज्ञ,सर्व,ज्ञ
663,स्वाभाव,स्वा,भाव
664,निर्माणशील,निर्माण,शील
665,संगीतमय,संगीत,मय
666,सौम्यभाव,सौम्य,भाव
667,अतिसुशील,अति,सुशील
668,धार्मिक,धा,र्मिक
669,विशुद्ध,वि,शुद्ध
670,प्रेरक,प्रेर,क
671,अल्पज्ञ,अल्प,ज्ञ
672,व्यर्थहीन,व्यर्थ,हीन
673,अविरल,अवि,रल
674,संरक्षित,संरक्ष,ित
675,अविनम्र,अवि,नम्र
676,सुग्रीव,सु,ग्रीव
677,निर्मलता,निर्मल,ता
678,संतुलित,संतुल,ित
679,उज्जवलता,उज्जवल,ता
680,समर्पणता,समर्पण,ता
681,सौम्यता,सौम्य,ता
682,अद्भुत,अद्भु,त
683,निराकार,नि,राकार
684,प्रभावशील,प्रभाव,शील
685,निरक्षर,नि,रक्षर
686,उत्क्रांत,उत्क्रा,ंत
687,परिशीलित,परिशील,ित
688,अनुकम्पा,अनु,कम्पा
689,अत्युत्तम,अति,उत्तम
690,विनीत,वि,नीत
691,सुगमता,सुगम,ता
692,अचूक,अचू,क
693,उत्सवमय,उत्सव,मय
694,नवीनता,नवीन,ता
695,प्रभावशीलता,प्रभाव,शीलता
696,सौम्यकला,सौम्य,कला
697,सम्यक,सम्य,क
698,अतिसुसज्ज,अति,सुसज्ज
699,प्रचुर,प्रच,ुर
700,निर्विघ्न,निर्विघ,्न
701,अद्भुतता,अद्भुत,ता
702,उत्कर्षशील,उत्कर्ष,शील
703,स्पष्टवादी,स्पष्ट,वादी
704,समर्पक,समर्प,क
705,अतिशय,अति,शय
706,अनवरत,अनव,रत
707,सुसंगतता,सुसंगत,ता
708,प्रभास्वर,प्रभा,स्वर
709,निर्विकारता,निर्विकार,ता
710,अतिसुंदरता,अति,सुंदरता
711,उज्जवलाभ,उज्जवल,ाभ
712,प्रभासाली,प्रभा,साली
713,विस्तारशील,विस्तार,शील
714,सारगर्भित,सार,गर्भित
715,अलौकिक,अलौ,किक
716,निस्सीम,निस्सी,म
717,अचल,अ,चल
718,अविरत,अवि,रत
719,स्फुट,स्फु,ट
720,संगतिमय,संगति,मय
721,निर्भीक,नि,र्भीक
722,विश्वासयोग्य,विश्वास,योग्य
723,विवेकपूर्णता,विवेक,पूर्णता
724,साहसिकता,साहस,िकता
725,प्रेरणादायकता,प्रेरणा,दायकता
726,शुद्धता,शुद्ध,ता
727,उत्कृष्टता,उत्कृष्ट,ता
728,अनुग्रहशील,अनुग्रह,शील
729,मनोमय,मनो,मय
730,हर्षपूर्ण,हर्ष,पूर्ण
731,उत्कर्षण,उत्कर्ष,ण
732,स्फुटता,स्फुट,ता
733,चैतन्यमय,चैतन्य,मय
734,सुगंधिता,सुगंध,िता
735,प्रभावन,प्रभाव,न
736,रचनाभाव,रचना,भाव
737,संपन्नता,संपन्न,ता
738,उत्सर्ज्यता,उत्सर्ज,्यता
739,निष्ठा,निष्ठ,ा
740,समर्पिता,समर्पण,िता
741,निराकारिता,निराकार,िता
742,शांतता,शांत,ता
743,मधुरता,मधुर,ता
744,स्पष्टवाद,स्पष्ट,वाद
745,अविचलता,अविचल,ता
746,उत्साहिता,उत्साह,िता
747,आत्मनिर्भरता,आत्म,निर्भरता
748,संपूर्णता,संपूर्ण,ता
749,विनम्रता,विनम्र,ता
750,आदर्शता,आदर,शता
751,नूतनता,नूतन,ता
752,शौर्यशील,शौर्य,शील
753,निपुणता,निपुण,ता
754,मर्मस्पर्शी,मर्म,स्पर्शी
755,दृढता,दृढ,ता
756,उत्तमता,उत्तम,ता
757,सामर्थ्य,सामर्थ,्य
758,प्रतिष्ठा,प्रतिष्ठ,ा
759,विवेकशीलता,विवेक,शीलता
760,अनन्यता,अनन,्यता
761,विचक्षण,विचक्ष,ण
762,समग्रता,समग्र,ता
763,चंचलता,चंचल,ता
764,कुशलता,कुशल,ता
765,संयमशील,संयम,शील
766,अखंडता,अखंड,ता
767,सजगता,सजग,ता
768,बुद्धिमत्ता,बुद्धि,मत्ता
769,उदात्तता,उदात्त,ता
770,शोभायमान,शोभा,यमान
771,सुकून,सुकू,न
772,समानता,समान,ता
773,सफाई,सफा,ई
774,बिरलेपन,बिरले,पन
775,असाध्य,असाध,्य
776,अत्युत्कृष्ट,अति,उत्कृष्ट
777,उदात्तम,उदात्त,म
778,सुखद,सुख,द
779,दुखद,दुख,द
780,विमल,वि,मल
781,निरव,नि,रव
782,उत्कट,उत्क,ट
783,अद्भुतत्व,अद्भुत,त्व
784,संवेगशील,संवेग,शील
785,उपयुक्तता,उपयुक्त,ता
786,उपलब्धि,उपलब्ध,ि
787,सक्रियता,सक्रिय,ता
788,चेतनता,चेतन,ता
789,नवोन्मेष,नव,ोन्मेष
790,संस्कार,संस्का,र
791,परिपक्वता,परिपक्व,ता
792,सद्गुण,सद्गु,ण
793,सदाचार,सदा,चार
794,आचार्यत्व,आचार्य,त्व
795,शैक्षिकता,शैक्षिक,ता
796,वैज्ञानिकता,वैज्ञानिक,ता
797,कलात्मकता,कलात्मक,ता
798,साहित्यिकता,साहित्यिक,ता
799,सांस्कृतिकता,सांस्कृतिक,ता
800,आध्यात्मिकता,आध्यात्मिक,ता
801,दर्शनशील,दर्शन,शील
802,मानवीयता,मानवीय,ता
803,नैतिकता,नैतिक,ता
804,राजनैतिकता,राजनैतिक,ता
805,आर्थिकता,आर्थिक,ता
806,प्राकृतिकता,प्राकृतिक,ता
807,पर्यावरणीयता,पर्यावरणीय,ता
808,सामाजिकता,सामाजिक,ता
809,पारदर्शिता,पारदर्श,िता
