index,full_word,pt1,rest
103,जंगल,जंग,ल
104,जाणता,जाण,ता
105,लंपट,लंप,ट
106,विसरणे,विसर,णे
107,साहित्यप्रेमी,साहित्य,प्रेमी
108,लढणे,लढ,णे
109,सोमसपणे,सोम,सपणे
110,मिळवणे,मिळ,वणे
111,ठेवणे,ठेव,णे
112,उनाड,उन,ाड
113,मोहनीय,मोह,नीय
114,उचकणे,उचक,णे
115,शोभनीय,शोभ,नीय
116,सुरेल,सुर,ेल
117,अटवणे,अट,वणे
118,गुरकावणे,गुर,कावणे
119,उद्देशिलेला,उद्देश,िलेला
120,कांचन,कांच,न
121,झोंबणे,झोंब,णे
122,जैतून,जैत,ून
123,किल्ली,किल,्ली
124,नक्षीदार,नक्षी,दार
125,आश्चर्यमय,आश्चर्य,मय
126,गुप्तधन,गुप्त,धन
127,एवढा,एव,ढा
128,अनुनासिक,नास,अनुसिक
129,उपसणे,उप,सणे
130,खस्ता,खस्त,ा
131,अछिद्रान्वेषी,अन्वेषी,अछिद्र
132,विस्तृत,विस्तर,त
133,हजर,हज,र
134,समजणे,समज,णे
135,लंघणे,लंघ,णे
136,सुहृदय,सु,हृदय
137,सुकणे,सुक,णे
138,शीतल,शीत,ल
139,देणे,दे,णे
140,उखाडणे,उखाड,णे
141,शेवाळणे,शेवाळ,णे
142,तोडणे,तोड,णे
143,धुरंधर,धुर,ंधर
144,कपडा,कप,डा
145,लपवणे,लप,वणे
146,जुलमी,जुलम,ी
147,शृंगारणे,शृंगार,णे
148,पापभीरू,पाप,भीरू
149,सुदेव,सु,देव
150,राजसी,राज,सी
151,मऊमऊ,मऊ,मऊ
152,मोहणे,मोह,णे
153,चकचकीत,चकचकी,त
154,जाणे,जाण,े
155,घरघरणे,घर,घरणे
156,नफेखोर,नफा,खोर
157,पहाडी,पहाड,ी
158,अनुत्पादक,उत्पाद,अन
159,हिरवाईपूर्ण,हिरवाई,पूर्ण
160,चांदी,चांद,ी
161,चघळणे,चघळ,णे
162,अंचवणे,अंच,वणे
163,लावणे,लाव,णे
164,अनिच्छ,इच्छ,अन
165,चमकणे,चमक,णे
166,अनुरंजित,रंज,अनुजित
167,बालसुलभ,बाल,सुलभ
168,कल्पनारम्य,कल्पना,राम्य
169,आक्रंदणे,आक्रंद,णे
170,बासरी,बास,री
171,आश्चर्यकारक,आश्चर्य,कारक
172,राहणे,राह,णे
173,अखंड्य,अखंड,्य
174,हिणकट,हिण,कट
175,भावनाप्रधान,भावना,प्रधान
176,पायस,पाय,स
177,केकटणे,केकट,णे
178,ओरडणे,ओरड,णे
179,हसणे,हस,णे
180,आळसावणे,आळस,आवणे
181,कसा,कस,ा
182,कष्टाळू,कष्ट,ाळू
183,संभाळणे,संभाळ,णे
184,फुलदाणी,फुल,दाणी
185,ठकवणे,ठक,वणे
186,सडासोट,सडा,सोट
187,गरकावणे,गर,कावणे
188,हटविणे,हट,विणे
189,सुगंध,गंध,सु
190,कल्हईचा,कल्हई,चा
191,संदेहस्पद,संदेह,स्पद
192,श्रद्धाळू,श्रद्धा,ळू
193,खर्चणे,खर्च,णे
194,गुरुहीन,गुरु,हीन
195,तकरार,तकर,ार
196,भूतकालीन,भूत,कालीन
197,क्षतविक्षत,क्षत,विक्षत
198,निर्गुण,गुण,निर्गुण
199,नरम,नर,म
200,घाटदार,घाट,दार
201,प्रथम,प्रथ,म
202,कोमोरोसी,कोमो,रोसी
203,झोपणे,झोप,णे
204,झोपलेला,झोप,लेला
205,प्रकाश्य,प्रकाश,्य
206,पवित्रता,पवित्र,ता
207,दरवाजा,दर,वाजा
208,घेरणे,घेर,णे
209,चवदार,चव,दार
210,लांबवलेला,लांब,वलेला
211,अडकणे,अडक,णे
212,मैत्री,मैत्र,ी
213,द्व्यर्थी,द्व्यर्थ,ी
214,संसदीय,संसद,ीय
215,रुजणे,रुज,णे
216,घसरणे,घस,रणे
217,प्रार्थनीय,प्रार्थना,नीय
218,आंबटवाणा,आंबट,वाणा
219,हवामय,हवा,मय
220,सौंदर्य,सौंदर,्य
221,चुंबणे,चुंब,णे
222,चिक्कू,चिक्क,ू
223,करणे,कर,णे
224,सामावणे,सामाव,णे
225,खेळणे,खेळ,णे
226,हसू,हस,ू
227,ढेकूणग्रस्त,ढेकूण,ग्रस्त
228,लेकुरवाळा,लेकुर,वाळा
229,अनुसृत,अनु,सृत
230,अविज्ञात,ज्ञा,अवि
231,स्वप्नाळू,स्वप्न,ाळू
232,अठ्ठेचाळिसावा,चाळीस,अठ्ठे
233,गोडधोड,गोड,धोड
234,समुद्रपट्टीय,समुद्र,पट्टीय
235,श्रावण,श्राव,ण
236,लिहिण्याजोगा,लिहिण्य,ाजोगा
237,आंबटढाण,आंबट,ढाण
238,तेवणे,तेव,णे
239,चवथा,चव,था
240,उधडणे,उधड,णे
241,घुबड,घुब,ड
242,प्रकाशमय,प्रकाश,मय
243,अंबट,अंब,ट
244,बेडौल,बेड,ौल
245,शास्त्रीय,शास्त्र,ीय
246,स्वर्गसुखी,स्वर्ग,सुखी
247,अप्रचलित,चल,अप्र
248,ठकविणे,ठक,विणे
249,रूपकथा,रूप,कथा
250,रोखणे,रोख,णे
251,घायकुत्या,घाय,कुत्या
252,भूवैज्ञानिक,भू,वैज्ञानिक
253,झुंजविणे,झुंज,विणे
254,मधुरभाषी,भाषा,मधुर
255,आसवणे,आस,वणे
256,पसरवणे,पसर,वणे
257,महत्त्वहीन,महत्त्व,हीन
258,वाजवणे,वाज,वणे
259,खरबपती,खरब,पती
260,गौरवशाली,गौरव,शाली
261,काढणे,काढ,णे
262,प्रेममय,प्रेम,मय
263,ग्रस्त,ग्रस,त
264,कडकडणे,कडक,डणे
265,कल्याणकारक,कल्याण,कारक
266,परीसारखा,सार,परी
267,फलाणा,फल,ाणा
268,आनंदमय,आनंद,मय
269,छत्रधारी,छत्र,धारी
270,कापराचा,कापरा,चा
271,छत्तीसगडी,छत्तीस,गडी
272,अठरावा,अठरा,वा
273,इंद्रधनुषी,इंद्रधनुष,ी
274,शुक्रतारा,शुक्र,तारा
275,बलवान,बल,वान
276,जिंकणे,जिंक,णे
277,नागपुरी,नाग,पुरी
278,रवाळ,रव,ाळ
279,भिरकी,भिर,की
280,होडी,होड,ी
281,महिमान्वित,महिमा,अन्वित
282,डोंगर,डोंग,र
283,चावणे,चाव,णे
284,छेदणे,छेद,णे
285,तुसडा,तुस,डा
286,निळसर,निळ,सर
287,नक्कल्या,नक्कल,या
288,बंधुत्वपूर्ण,बंधुत्व,पूर्ण
289,धागा,धाग,ा
290,नखरेबाज,नखरे,बाज
291,असणे,अस,णे
292,पाठवणे,पाठ,वणे
293,क्रांतिकारक,क्रांति,कारक
294,जुळवणे,जुळ,वणे
295,बोलणे,बोल,णे
296,फितुर,फित,ुर
297,हेंदोवणे,हेंदो,वणे
298,चुंफणे,चुंफ,णे
299,अद्वितीय,द्वितीय,अ
300,फुत्करणे,फुत्कर,णे
301,गिरवणे,गिर,वणे
302,वेदविद्,वेद,विद्
303,निलिमा,निल,िमा
304,निर्वात,निर्व,ात
305,अनिर्णीत,निर्णीत,अ
306,ऊबदार,ऊब,दार
307,कविता,कव,िता
308,वासणे,वास,णे
309,भाराभर,भार,भर
310,रक्ताळणे,रक्त,ाळणे
311,उल्लासित,उल्लास,ित
312,नारळ,नार,ळ
313,वही,वह,ई
314,रहस्यमय,रहस्य,मय
315,हरवणे,हरव,णे
316,डचमळणे,डच,मळणे
317,मिश्रणीय,मिश्रण,ीय
318,कल्पनाशील,कल्पना,शील
319,सजणे,सज,णे
320,बाळगणे,बाळग,णे
321,भोळा,भोळ,ा
322,असंवैधानिक,संवैधान,िक
323,येणे,ये,णे
324,अंकी,अं,की
325,गुळगुळीत,गुळ,गुळीत
326,टापटीप,टाप,टीप
327,गर्हणीय,गर्हण,ीय
328,चिंतनशील,चिंतन,शील
329,झुंजणे,झुंज,णे
330,सोने,सो,ने
331,वेडावणे,वेडा,वणे
332,तांब्याचा,तांब्या,चा
333,अलंघनीय,अलंघ,नीय
334,धुतकावणे,धुत,कावणे
335,लंबवर्तुळाकार,लंब,वर्तुळाकार
336,लुचणे,लुच,णे
337,चकाकणे,चकाक,णे
338,सगुण,गुण,स
339,उपयुक्त,उप,युक्त
340,थकणे,थक,णे
341,पाऊस,पाऊ,स
342,अधुवा,अधु,वा
343,पांकणे,पांक,णे
344,दामटणे,दामट,णे
345,खरमरीत,खर,मरीत
346,मेघमय,मेघ,मय
347,लुळा-लंगडा,लंगड,ा
348,सोनाली,सोना,ली
349,शेफारणे,शेफार,णे
350,हेंदोलणे,हेंदोल,णे
351,मायावी,माया,वी
352,लुबाडणे,लुबाड,णे
353,अकौटुंबिक,कौटुंब,िक
354,कार्यक्रम,कार्य,क्रम
355,प्रकाश-छायायुक्त,प्रकाश,छायायुक्त
356,नंदनवन,नंदन,वन
357,खुसखुशीत,खुस,खुशीत
358,मोहक,मोह,क
359,सावली,साव,ली
360,पुच्छहीन,पुच्छ,हीन
361,उदार,उद,आर
362,अकालिक,काल,अ
363,स्नेहमय,स्नेह,मय
364,असित,अस,ित
365,टोकाचा,टोक,ाचा
366,अचुंबकीय,चुंबक,ीय
367,निर्मळ,निर्म,ळ
368,दोलायमान,दोल,ायमान
369,लपाछपी,लप,ाछपी
370,प्रतिष्ठित,प्रतिष्ठा,ित
371,अमूल्य,मूल,अ
372,आनंददायक,आनंद,दायक
373,खिडकी,खिड,की
374,उद्यान,उद्या,न
375,खेन्नकरप,खेन्न,करप
376,राजवाडा,राज,वाडा
377,कातळी,कात,ळी
378,सितार,सित,ार
379,धकणे,धक,णे
380,पोहोचणे,पोहोच,णे
381,डॉल्फिन,डॉल्फ,िन
382,वाढवणे,वाढ,वणे
383,परावलंबी,परावलंब,ी
384,पक्षी,पक्ष,ी
385,पडणे,पड,णे
386,पांडित्यपूर्ण,पांडित्य,पूर्ण
387,धनदायी,धन,दायी
388,लाडका,लाड,का
389,नववारी,नव,वारी
390,चुकारतट्टु,चुकार,तट्टु
391,सोपे,सो,पे
392,गोरटा,गोर,टा
393,सोडणे,सोड,णे
394,महान,मह,आन
395,अभियात्री,अभियात,्री
396,ग्रंथित,ग्रंथ,ित
397,निरभ्र,निर,भ्र
398,अमुकतमुक,अमुक,तमुक
399,तक्रारकर्ता,तक्रार,कर्ता
400,खाणे,खा,णे
401,मारणे,मार,णे
402,उपभोगणे,भोग,"उप"" + ""णे"
403,रंगबेरंगी,रंग,बेरंगी
404,घालणे,घाल,णे
405,रसाळ,रस,ाळ
406,पापी,पाप,ी
407,स्वाभाविक,स्वाभाव,िक
408,हत्ती,हत्त,ी
409,डळमळीत,डळ,मळीत
410,फुलपाखरू,फुल,पाखरू
411,स्वागत,स्वाग,त
412,वितुळलेला,वितुळ,लेला
413,अपरिचित,परिचित,अ
414,स्वप्निल,स्वप्न,िल
415,विजयी,विजय,ई
416,दवस्नात,दवस,्नात
417,काळाजर्द,काळा,जर्द
418,रात्रिमय,रात्रि,मय
419,सुधारणे,सुधार,णे
420,पायमोडका,पाय,मोडका
421,करामत,करा,मत
422,लष्करी,लष्कर,ी
423,अनामिक,नाम,अन
424,गुतणे,गुत,णे
425,संकोचणे,संकोच,णे
426,कुस्करणे,कुस्कर,णे
427,ईसाई,ईस,ाई
428,रातांधळा,रात,आंधळा
429,सुखदायक,सुख,दायक
430,संथगती,संथ,गती
431,समजावणे,समज,आवणे
432,परिपूर्ण,पूर्ण,परी
433,शोधणे,शोध,णे
434,शाऐंशी,शा,ऐंशी
435,समाधानी,समाधान,ी
436,निष्पाप,निष,्पाप
437,कुलवंत,कुल,वंत
438,तिचाकी,तिच,ाकी
439,सचिंत,सच,िंत
440,अर्जदार,अर्ज,दार
441,अदाहक,अदा,हक
442,महागणे,महाग,णे
443,खंडित,खंड,ित
444,तुमुल,तुम,ुल
445,प्यायलेला,प्याय,लेला
446,कंचे,कंच,े
447,अव्यवहारी,व्यवहार,अ-
448,भाषांतरित,भाषा,ांतरित
449,स्वर्गीय,स्वर्ग,ीय
450,श्रमी,श्रम,ी
451,समाजाविणे,समाज,आविणे
452,ऋणकरी,ऋण,करी
453,कल्पना,कल्प,ना
454,दीक्षित,दीक्ष,ित
455,नावाडी,नाव,ाडी
456,सताविणे,सता,विणे
457,साधनविहिन,साधन,विहिन
458,सजीव,सज,जीव
459,हृदयस्पर्शी,हृदय,स्पर्शी
460,धूसर,धूस,र
461,एकजूट,एक,जूट
462,अपराधी,अपराध,ी
463,लोटणे,लोट,णे
464,तुळणे,तुळ,णे
465,ढिला,ढिल,ा
466,उत्तेजित,उत्तेज,ित
467,घेरलेला,घेर,लेला
468,अबोली,अबो,ली
469,परिणामकारक,परिणाम,कारक
470,अनोखा,अन,ोखा
471,विजयपूर्ण,विजय,पूर्ण
472,अशक्य,शक्य,अ
473,उखढणे,उखड,णे
474,सोपा,सोप,ा
475,बसवणे,बस,वणे
476,लहान-सहान,लहान,सहान
477,तलवारधारी,तलवार,धारी
478,इंद्रजीत,इंद्र,जीत
479,कातर,कात,र
480,बुचकळणे,बुचकळ,णे
481,टोलवणे,टोल,वणे
482,ईशान्य,ईश,आन्य
483,अनैसर्गिक,सर्ग,अनै
484,चिरहरित,चिर,हरित
485,हिरकसदृश,हिरक,सदृश
486,अनेकार्थी,अनेक,ार्थी
487,दाबणे,दाब,णे
488,झणझणणे,झण,झणणे
489,द्युतिधर,द्युति,धर
490,टोकडा,टोक,डा
491,गोळावणे,गोळा,वणे
492,उदरांत्रीय,उदर,ांत्रीय
493,भयानक,भय,आनक
494,हसमुख,हस,मुख
495,उंचापूरा,उंच,ापूरा
496,अंथरणे,अंथर,णे
497,आळसणे,आळस,णे
498,पस्तीसएक,पस्तीस,एक
499,त्रयोदश,त्रय,ओदश
500,बाहुली,बाहु,ली
501,विवेकनिष्ठ,विवेक,निष्ठ
502,डांभणे,डांभ,णे
503,वायू,वाय,ू
504,पेन्सिल,पेन्स,िल
505,कुथाडणे,कुथाड,णे
506,ओरबाडणे,ओर,बाडणे
507,परीकथा-सदृश,परीकथा,सदृश
508,निघणे,निघ,णे
509,स्नेहपूर्ण,स्नेह,पूर्ण
510,झिडकारणे,झिडकार,णे
511,शिक्षक,शिक्ष,क
512,शिक्षिका,शिक्ष,िका
513,शिक्षण,शिक्ष,ण
514,विद्यार्थी,विद्या,र्थी
515,विद्यार्थिनी,विद्या,र्थिनी
516,महाविद्यालय,महा,विद्यालय
517,पुस्तकालय,पुस्तक,ालय
518,संगणक,संगण,क
519,संगणकीय,संगण,कीय
520,परिवर्तन,परि,वर्तन
521,समाजसेवा,समाज,सेवा
522,स्वातंत्र्य,स्वातंत्र,य
523,लोकशाही,लोक,शाही
524,सामाजिक,सामाज,िक
525,उद्योग,उद्,योग
526,उद्योगपती,उद्योग,पती
527,शासन,शास,न
528,शासनव्यवस्था,शासन,व्यवस्था
529,आर्थिक,आर्थ,िक
530,राष्ट्रवाद,राष्ट्र,वाद
531,सांस्कृतिक,सांस्कृ,तिक
532,क्रीडा,क्री,डा
533,खेलाडू,खेल,ाडू
534,साहित्य,साहित्,य
535,नाटक,नाट,क
536,चित्रपट,चित्र,पट
537,सिनेमा,सिने,मा
538,दिग्दर्शक,दिग्दर्श,क
539,प्रदर्शन,प्रदर्श,न
540,संगीत,संगी,त
541,वाद्य,वाद,य
542,नृत्य,नृत,्य
543,कला,कल,ा
544,रंगमंच,रंग,मंच
545,नाट्य,नाट,्य
546,दृश्य,दृश,य
547,चित्रकला,चित्र,कला
548,विज्ञान,विज्ञा,न
549,संशोधन,संशोध,न
550,प्रयोगशाळा,प्रयोग,शाळा
551,गणित,गणि,त
552,सांख्यिकी,सांख्यि,की
553,भौतिकशास्त्र,भौतिक,शास्त्र
554,जीवशास्त्र,जीव,शास्त्र
555,रसायनशास्त्र,रसायन,शास्त्र
556,इतिहास,इतिहा,स
557,भूगोल,भू,गोल
558,राजकारण,राज,कारण
559,कंप्यूटर,कंप,यूटर
560,प्रोग्रामिंग,प्रोग्राम,िंग
561,सॉफ्टवेअर,सॉफ्ट,वेअर
562,हार्डवेअर,हार्ड,वेअर
563,इंटरनेट,इंटर,नेट
564,मोबाइल,मोबि,ल
565,तंत्रज्ञान,तंत्र,ज्ञान
566,माहिती,माहित,ी
567,सांख्यिकीविद,सांख्यिकी,विद
568,शोधकार्य,शोध,कार्य
569,उत्पादन,उत्पाद,न
570,व्यवसाय,व्यव,साय
571,व्यापार,व्याप,ार
572,निवडणूक,निवड,णूक
573,मतदान,मत,दान
574,राजकीय,राज,कीय
575,नागरिक,नाग,रिक
576,संविधान,संविधा,न
577,कानून,कानु,न
578,न्यायालय,न्याय,ालय
579,अदालत,अदा,लत
580,वकील,वक,ईल
581,मुकदमा,मुकद,मा
582,निर्णय,निर्ण,य
583,तपास,तपा,स
584,अपराध,अपरा,ध
585,पोलिस,पोलि,स
586,सेना,से,ना
587,सैनिक,सैन,िक
588,युद्ध,युध,्द
589,शौर्य,शौर,्य
590,वीरता,वीर,ता
591,पराक्रम,पराक,्रम
592,साहस,साह,स
593,महिमा,महि,मा
594,गौरव,गौर,व
595,श्रद्धा,श्रद्ध,ा
596,प्रेम,प्रे,म
597,स्नेह,स्ने,ह
598,सखोल,सख,ोल
599,विनम्र,विन,म्र
600,सभ्य,सभ,्य
601,उत्कृष्ट,उत्कृ,ष्ट
602,शांतता,शांत,ता
603,प्रकृती,प्रकृ,ती
604,पर्यावरण,पर्याव,रण
605,निसर्ग,निस,र्ग
606,प्राणी,प्रा,णी
607,वनस्पती,वन,स्पती
608,पिकनिक,पिक,निक
609,उत्सव,उत्स,व
610,सोहळा,सोह,ळा
611,सण,स,ण
612,हस्तकला,हस्त,कला
613,शिल्प,शिल्,प
614,संगीतकार,संगीत,कार
615,लेखक,लेख,क
616,कवि,कव,ि
617,साहित्यकार,साहित्य,कार
618,निबंध,निबं,ध
619,प्रबंध,प्रबं,ध
620,संवाद,संवा,द
621,वार्ता,वार्,ता
622,पत्र,पत,र
623,पत्रिका,पत्र,िका
624,संवाददाता,संवाद,दाता
625,संपादक,संपाद,क
626,प्रकाशक,प्रकाश,क
627,मुद्रण,मुद्र,ण
628,प्रकाशन,प्रकाश,न
629,समाप्त,समाप,त
630,आरंभ,आरं,भ
631,उदयोन्मुख,उदय,न्मुख
632,सफलता,सफल,ता
633,असफल,अस,फल
634,चंद्र,चंद,र
635,सूर्य,सूर,य
636,नक्षत्र,नक्ष,त्र
637,तारका,तार,का
638,शिव,शि,व
639,धर्म,ध,र्म
640,श्रद्धेय,श्रद्ध,ेय
641,पवित्र,पवि,त्र
642,नम्र,नम,्र
643,अनुग्रह,अनु,ग्रह
644,प्रभात,प्रभा,त
645,संध्याकाळ,संध्या,काळ
646,दुपारी,दुपार,ी
647,संध्याकाळी,संध्या,काळी
648,रात्री,रात,्री
649,सकाळ,सका,ळ
650,मध्यारात्रि,मध्या,रात्रि
651,निवांत,निवां,त
652,आरोग्य,आरोग,्य
653,तंदुरुस्ती,तंदुरुस्त,ी
654,रुग्णालय,रुग्ण,ालय
655,औषधालय,औषध,ालय
656,वैद्यकीय,वैद्य,कीय
657,रोगनिदान,रोग,निदान
658,प्रतिबंध,प्रतिबं,ध
659,प्रतिकार,प्रति,कार
660,प्रतिशोध,प्रतिशो,ध
661,प्रतिबद्ध,प्रतिबध,ध
662,निवास,निव,ास
663,वसाहत,वसा,हत
664,आवास,आवा,स
665,घर,घ,र
666,दालान,दा,लान
667,बाग,बा,ग
668,बागेत,बाग,ेत
669,पिकवाडी,पिक,वाडी
670,शेतकरी,शेत,करी
671,कृषी,कृष,ी
672,पिकवणूक,पिक,वणूक
673,कृषीविद,कृषी,विद
674,उत्पादक,उत्पाद,क
675,निर्यात,निर्,यात
676,आयात,आय,त
677,उद्योगी,उद्योग,ी
678,व्यवस्थापक,व्यवस्थाप,क
679,संचालक,संचाल,क
680,प्रबंधक,प्रबंध,क
681,अध्यक्ष,अधि,क्ष
682,सचिव,सचि,व
683,कोषाध्यक्ष,कोष,ाध्यक्ष
684,संसद,सं,सद
685,राजकारणी,राज,कारणी
686,निर्वाचन,निर्वा,चन
687,मतदाता,मत,दाता
688,मतदानकर्ता,मतदान,कर्ता
689,प्रशासन,प्रशास,न
690,मंत्री,मंत्र,ी
691,मंत्रिमंडळ,मंत्री,मंडळ
692,आग्रह,आगर,ह
693,अनुसंधान,अनुसं,धान
694,नियंत्रण,नियं,त्रण
695,प्रशिक्षण,प्रशिक्ष,ण
696,प्रोत्साहन,प्रोत्साह,न
697,विकास,विक,ास
698,प्रगती,प्रगत,ी
699,विकसित,विक,सित
700,उन्नती,उन्नत,ी
701,नूतन,नूत,न
702,नवीन,नवी,न
703,जागरूक,जाग,रूक
704,सावध,साव,ध
705,सतर्क,सत,र्क
706,जागरूकता,जागरूक,ता
707,माहितगार,माहित,गार
708,संबंध,संबं,ध
709,उदात्त,उदा,त्त
710,परिपूर्णता,परिपूर्ण,ता
711,समृद्ध,समृ,द्ध
712,नवया,नव,या
713,नवीनता,नवीन,ता
714,श्रमिक,श्रम,िक
715,कुशल,कुश,ल
716,धैर्य,धै,र्य
717,उत्साह,उत्स,ाह
718,सहकार्य,सह,कार्य
719,सहकार्यशील,सह,कार्यशील
720,सहभाग,सह,भाग
721,सहजीवन,सह,जीवन
722,मित्र,मित,र
723,मित्रत्व,मित्र,त्व
724,स्नेही,स्नेह,ी
725,समृद्धी,समृ,द्धी
726,संपत्ती,संपत,ती
727,सुवर्ण,सुव,र्ण
728,रुपया,रुप,या
729,बँक,बँ,क
730,व्याज,व्य,ाज
731,कर्ज,कर,ज
732,विमा,विम,ा
733,बीमा,बीम,ा
734,अर्थव्यवस्था,अर्थ,व्यवस्था
735,संपूर्ण,संपु,र्ण
736,उत्तम,उत्त,म
737,नियोजित,नियोज,ित
738,उद्योगीकरण,उद्योगी,करण
739,प्रौद्योगिकी,प्रौद्योग,िकी
740,स्मार्टफोन,स्मार्ट,फोन
741,लॅपटॉप,लॅप,टॉप
742,डिजिटल,डिजि,टल
743,माहितीप्रणाली,माहिती,प्रणाली
744,संचार,सं,चार
745,दूरदर्शन,दूर,दर्शन
746,रेडिओ,रेडि,ओ
747,टीव्ही,टी,व्ही
748,विज्ञापन,विज्ञा,पान
749,संकल्प,संक,ल्प
750,उद्दिष्ट,उद्दि,ष्ट
751,नियोजन,नियोज,न
752,वापरकर्ता,वापर,कर्ता
753,ग्राहक,ग्राह,क
754,उपयोगिता,उपयोग,िता
755,सुलभ,सुल,भ
756,विनियोजन,विनियोज,न
757,सहज,सह,ज
758,लवकर,लव,कर
759,मागणी,माग,णी
760,सदर,सद,र
761,वितरण,वितर,ण
762,संचय,संच,य
763,संरक्षण,संरक्ष,ण
764,पुनर्निर्माण,पुनर,निर्माण
765,उपाय,उप,ाय
766,प्रयत्न,प्रयत,्न
767,योजना,योज,ना
768,विकासशील,विकास,शील
769,नवीनतम,नवीन,तम
770,सुदृढ,सुदृ,ढ
771,स्थिर,स्थि,र
772,गत्यशील,गति,शील
773,उत्प्रेरक,उत्प्रेर,क
774,प्रेरणा,प्रेर,णा
775,प्रतिबिंब,प्रतिबिं,ब
776,प्रतिध्वनी,प्रतिध्व,नी
777,आवाज,आवा,ज
778,ध्वनी,ध्व,नी
779,गीत,गी,त
780,नाद,ना,द
781,स्वर,स्व,र
782,ताल,ता,ल
783,वाद्ययंत्र,वाद्य,यंत्र
784,नृत्यांगना,नृत्य,आंगना
785,चित्रकार,चित्र,कार
786,लेखणी,लेख,णी
787,कलाविद,कला,विद
788,दूरदर्शनकर्ता,दूरदर्शन,कर्ता
789,संपादकीय,संपाद,कीय
790,समीक्षक,समी,क्षक
791,संपादिका,संपाद,िका
792,प्रचंड,प्रचं,ड
793,भव्य,भव,व्य
794,आकर्षक,आकर्ष,क
795,अतुलनीय,अतुल,नीय
796,अनंत,अन,ंत
797,अमर,अम,र
798,शाश्वत,शाश्व,त
799,कालजयी,काल,जयी
800,परम,पर,म
801,अत्युत्तम,अत्युत्त,म
802,उत्कट,उत्क,ट
